Canal,ΔRMSE_CBAM (mm),σ_CBAM,ΔRMSE_Simple (mm),σ_Simple
Z850,1.0818,0.0219,0.9385,0.0121
V700,0.5624,0.0132,0.5269,0.018
T850,0.2344,0.0018,0.2798,0.0238
T700,0.1564,0.0076,0.096,0.0069
V850,0.1429,0.0073,0.0725,0.0104
Q850,0.1271,0.011,0.2339,0.0061
T500,0.113,0.0081,0.177,0.0126
R500,0.0991,0.0158,0.1843,0.0008
R700,0.0886,0.0022,0.0961,0.0036
R850,0.0584,0.0161,0.0694,0.006
Z700,0.0439,0.0022,0.047,0.0027
Q700,0.0348,0.0079,0.0586,0.0074
U700,0.0277,0.0062,0.0732,0.0039
V500,0.0235,0.0041,0.0514,0.0053
U500,0.023,0.0043,0.0478,0.011
Z500,0.0156,0.0052,0.0481,0.0057
U850,0.0151,0.0069,0.0405,0.0049
Q500,0.0094,0.0041,0.0397,0.003
