,RMSE,MAE,NSE,r,Slope,P99_ratio,FSS_20mm,CSI_20mm,CSI_40mm,POD_20mm,POD_40mm
U-Net-Simple,9.3256,3.659,0.2167,0.4839,0.2345,0.4637,0.1702,0.1097,0.02,0.1265,0.0206
U-Net-SE,9.3319,3.6812,0.2156,0.4808,0.2233,0.4232,0.1278,0.0898,0.0094,0.1,0.0095
U-Net-CBAM,9.3225,3.6621,0.2172,0.4831,0.2572,0.5047,0.1957,0.1285,0.0311,0.1557,0.0326
U-Net-CBAM + QM,11.1225,4.4142,-0.1143,0.4493,0.4545,1.034,0.3231,0.1965,0.1118,0.3361,0.2098
U-Net-CBAM cGAN,12.4952,5.0374,-0.4063,0.348,0.3737,1.1055,0.328,0.1589,0.0716,0.3055,0.1557
U-Net-CBAM cGAN+QM,12.2076,4.8836,-0.3423,0.3477,0.3575,1.0473,0.3188,0.1538,0.0694,0.2762,0.1365
BCSD raw,9.6775,4.7122,0.1564,0.3971,0.1688,0.3776,0.0717,0.0364,0.0,0.0393,0.0
BCSD full,13.063,5.3038,-0.537,0.3195,0.3572,1.1423,0.2672,0.141,0.0786,0.2631,0.1662
Climatology,9.809,4.7213,0.1334,0.3659,0.1418,0.3388,0.0435,0.0164,0.0,0.017,0.0
